G0 ,G1 ,Vial,Count ,G0_deaths,Zero_emergence,Notes 
19,25,1168,33,0,0,
19,25,1169,35,0,0,
19,25,1170,32,0,0,
19,25,1171,35,0,0,
19,25,1172,40,0,0,
19,25,1173,40,0,0,
19,25,1174,59,0,0,
19,25,1175,45,0,0,
19,25,1176,43,0,0,
19,25,1177,50,0,0,
19,25,1178,19,0,0,
19,25,1179,39,0,0,
19,25,1180,40,0,0,
19,27,1181,22,0,0,
19,27,1182,55,0,0,
19,27,1183,49,0,0,
19,27,1184,29,0,0,
19,27,1185,45,0,0,
19,27,1186,45,0,0,
19,27,1187,53,0,0,
19,27,1188,35,0,0,
19,27,1189,38,0,0,
19,27,1190,43,0,0,
19,27,1191,61,0,0,
19,27,1192,40,0,0,
19,27,1193,47,0,0,
19,27,1194,44,0,0,
19,27,1195,34,0,0,
19,27,1196,70,0,0,
19,27,1197,23,0,0,
19,27,1198,24,0,0,
19,27,1199,38,0,0,
19,27,1200,29,0,0,
19,27,1201,46,0,0,
19,27,1202,49,0,0,
19,27,1203,28,0,0,
19,27,1204,81,0,0,
19,27,1205,44,0,0,
19,27,1206,54,0,0,
19,27,1207,45,0,0,
19,27,1208,43,0,0,
19,27,1209,20,0,0,
19,27,1210,26,0,0,
19,27,1211,11,0,0,
19,27,1212,19,0,0,
19,27,1213,61,0,0,
19,27,1214,34,0,0,
19,27,1215,53,0,0,
19,27,1216,26,0,0,
19,27,1217,51,0,0,
19,27,1218,38,0,0,
19,27,1219,46,0,0,
19,27,1220,19,0,0,
23,19,1221,20,0,0,seem much larger than previous 
23,19,1222,47,0,0,"in all that have count, seem to have food on them (photo)"
23,19,1223,19,0,0,
23,19,1224,40,0,0,
23,19,1225,22,0,0,
23,19,1226,0,0,1,
23,19,1227,0,0,1,
23,19,1228,5,0,0,
23,19,1229,0,0,1,
23,19,1230,20,0,0,
23,19,1231,22,0,0,
23,19,1232,35,0,0,
23,19,1233,18,0,0,
23,19,1234,19,0,0,
23,19,1235,22,0,0,
23,19,1236,0,0,1,
23,19,1237,0,0,1,
23,19,1238,0,0,1,
23,19,1239,0,0,1,
23,19,1240,22,0,0,
23,19,1241,15,0,0,
23,19,1242,22,0,0,
23,19,1243,32,0,0,
23,19,1244,26,0,0,
23,19,1245,0,0,1,
23,19,1246,0,0,1,
23,19,1247,0,0,1,
23,19,1248,0,0,1,
23,19,1249,0,0,1,
23,19,1250,12,0,0,
23,19,1251,9,0,0,
23,19,1252,9,0,0,
23,19,1253,39,0,0,
23,19,1254,28,0,0,
23,19,1255,0,0,1,
23,19,1256,0,0,1,
23,19,1257,0,0,1,
23,19,1258,0,0,1,
23,19,1259,0,0,1,
23,19,1260,7,0,0,
23,21,1261,35,0,0,same issues with sticky food
23,21,1262,81,0,0,left lots of wings behind in tubes (photo)
23,21,1263,28,0,0,
23,21,1264,68,0,0,
23,21,1265,15,0,0,
23,21,1266,0,0,1,
23,21,1267,0,0,1,
23,21,1268,16,0,0,
23,21,1269,16,0,0,
23,21,1270,58,0,0,
23,21,1271,55,0,0,
23,21,1272,38,0,0,
23,21,1273,42,0,0,
23,21,1274,25,0,0,
23,21,1275,0,0,1,
23,21,1276,0,0,1,
23,21,1277,0,0,1,
23,21,1278,41,0,0,
23,21,1279,57,0,0,
23,21,1280,66,0,0,
23,21,1281,6,0,0,
23,21,1282,29,0,0,
23,21,1283,37,0,0,
23,21,1284,51,0,0,
23,21,1285,71,0,0,
23,21,1286,0,0,1,
23,21,1287,0,0,1,
23,21,1288,11,0,0,
23,21,1289,25,0,0,
23,21,1290,32,0,0,
23,21,1291,12,0,0,
23,21,1292,40,0,0,
23,21,1293,52,0,0,
23,21,1294,31,0,0,
23,21,1295,0,0,1,
23,21,1296,16,0,0,
23,21,1297,0,0,1,
23,21,1298,23,0,0,
23,21,1299,5,0,0,
23,21,1300,62,0,0,
23,23,1301,73,0,0,
23,23,1302,90,0,0,
23,23,1303,74,0,0,
23,23,1304,49,0,0,
23,23,1305,0,0,1,
23,23,1306,0,0,1,
23,23,1307,0,0,1,
23,23,1308,75,0,0,
23,23,1309,79,0,0,
23,23,1310,52,0,0,
23,23,1311,77,0,0,
23,23,1312,30,0,0,
23,23,1313,55,0,0,
23,23,1314,90,0,0,
23,23,1315,0,0,1,
23,23,1316,40,0,0,
23,23,1317,0,0,1,
23,23,1318,58,0,0,
23,23,1319,61,0,0,
23,23,1320,10,0,0,
23,23,1321,24,0,0,
23,23,1322,39,0,0,
23,23,1323,70,0,0,
23,23,1324,105,0,0,
23,23,1325,0,0,1,
23,23,1326,0,0,1,
23,23,1327,38,0,0,
23,23,1328,44,0,0,
23,23,1329,41,0,0,
23,23,1330,53,0,0,
23,23,1331,62,0,0,
23,23,1332,57,0,0,
23,23,1333,15,0,0,
23,23,1334,96,0,0,
23,23,1335,0,0,1,
23,23,1336,16,0,0,
23,23,1337,0,0,1,
23,23,1338,49,0,0,
23,23,1339,57,0,0,
23,23,1340,68,0,0,
23,25,1361,47,0,0,
23,25,1362,61,0,0,
23,25,1363,100,0,0,
23,25,1364,110,0,0,
23,25,1365,78,0,0,
23,25,1366,21,0,0,
23,25,1367,0,0,1,
23,25,1368,0,0,1,
23,25,1369,43,0,0,
23,25,1370,92,0,0,
23,25,1371,100,0,0,
23,25,1372,65,0,0,
23,25,1373,52,0,0,
23,25,1374,108,0,0,
23,25,1375,121,0,0,
23,25,1376,5,0,0,
23,25,1377,0,0,1,
23,25,1378,31,0,0,
23,25,1379,69,0,0,
23,25,1380,70,0,0,
23,25,1381,47,0,0,
23,25,1382,83,0,0,
23,25,1383,67,0,0,
23,25,1384,56,0,0,
23,25,1385,74,0,0,
23,25,1386,28,0,0,
23,25,1387,63,0,0,
23,25,1388,45,0,0,
23,25,1389,82,0,0,
23,25,1390,83,0,0,
23,25,1391,53,0,0,
23,25,1392,91,0,0,
23,25,1393,118,0,0,
23,25,1394,85,0,0,
23,25,1395,92,0,0,
23,25,1396,0,0,1,
23,25,1397,13,0,0,
23,25,1398,56,0,0,
23,25,1399,0,0,1,
23,25,1400,47,0,0,
23,27,1401,69,0,0,
23,27,1402,78,0,0,
23,27,1403,81,0,0,
