G0 ,G1 ,Vial,Fly_count,Wasp_count,Notes 
27,25,2268,12,51,
27,25,2269,1,45,
27,25,2270,8,37,
27,25,2271,4,63,
27,25,2272,6,60,
27,25,2273,2,68,
27,25,2274,10,36,
27,25,2275,26,32,
27,25,2276,11,41,
27,25,2277,1,49,
27,25,2278,4,60,
27,27,2281,54,0,
27,27,2282,19,36,
27,27,2283,7,67,
27,27,2284,0,51,
27,27,2285,5,73,
27,27,2286,3,44,
27,27,2287,0,40,
27,27,2288,3,56,
27,27,2289,4,63,
27,27,2290,11,19,
27,27,2291,5,54,
27,27,2292,55,1,
27,27,2293,7,59,
27,27,2294,3,39,
27,27,2295,1,21,
27,27,2296,10,47,
27,27,2297,2,58,
27,27,2298,31,25,
27,27,2299,1,69,
27,27,2300,7,47,
