TrialRep,Model,AC,TransGen,Extinctions
13,ModelA,Auto,NoTrans,1998
13,ModelB,NoAuto,BothTrans,1570
13,ModelB,NoAuto,NoTrans,2349
13,ModelB,Auto,BothTrans,1085
13,ModelB,Auto,NoTrans,1997
13,ModelA,NoAuto,WaspTrans,2350
13,ModelA,NoAuto,FlyTrans,1570
13,ModelA,Auto,WaspTrans,1998
13,ModelA,Auto,FlyTrans,1085
13,ModelB,NoAuto,WaspTrans,2349
13,ModelB,NoAuto,FlyTrans,1570
13,ModelB,Auto,WaspTrans,1997
13,ModelB,Auto,FlyTrans,1085
14,ModelA,NoAuto,BothTrans,1433
14,ModelA,NoAuto,NoTrans,2249
14,ModelA,Auto,BothTrans,1310
14,ModelA,Auto,NoTrans,2240
14,ModelB,NoAuto,BothTrans,1433
14,ModelB,NoAuto,NoTrans,2247
14,ModelB,Auto,BothTrans,1310
14,ModelB,Auto,NoTrans,2239
14,ModelA,NoAuto,WaspTrans,2249
14,ModelA,NoAuto,FlyTrans,1433
14,ModelA,Auto,WaspTrans,2240
14,ModelA,Auto,FlyTrans,1310
14,ModelB,NoAuto,WaspTrans,2247
14,ModelB,NoAuto,FlyTrans,1433
14,ModelB,Auto,WaspTrans,2239
14,ModelB,Auto,FlyTrans,1310
15,ModelA,NoAuto,BothTrans,1465
15,ModelA,NoAuto,NoTrans,2304
15,ModelA,Auto,BothTrans,308
15,ModelA,Auto,NoTrans,2303
15,ModelB,NoAuto,BothTrans,1465
15,ModelB,NoAuto,NoTrans,2299
15,ModelB,Auto,BothTrans,1370
15,ModelB,Auto,NoTrans,2302
15,ModelA,NoAuto,WaspTrans,2302
15,ModelA,NoAuto,FlyTrans,1465
15,ModelA,Auto,WaspTrans,2303
15,ModelA,Auto,FlyTrans,1370
15,ModelB,NoAuto,WaspTrans,2299
15,ModelB,NoAuto,FlyTrans,1465
15,ModelB,Auto,WaspTrans,2302
15,ModelB,Auto,FlyTrans,1370
16,ModelA,NoAuto,BothTrans,1491
16,ModelA,NoAuto,NoTrans,2333
16,ModelA,Auto,BothTrans,331
16,ModelA,Auto,NoTrans,2051
16,ModelB,NoAuto,BothTrans,1475
16,ModelB,NoAuto,NoTrans,2301
16,ModelB,Auto,BothTrans,1224
16,ModelB,Auto,NoTrans,2049
16,ModelA,NoAuto,WaspTrans,2333
16,ModelA,NoAuto,FlyTrans,1491
16,ModelA,Auto,WaspTrans,2050
16,ModelA,Auto,FlyTrans,1470
16,ModelB,NoAuto,WaspTrans,2301
16,ModelB,NoAuto,FlyTrans,1475
